Date,Open,High,Low,Close,Adj Close,Volume
2020-02-28,2.640000,2.700000,2.470000,2.560000,2.560000,92900
2020-03-02,2.510000,2.540000,2.390000,2.490000,2.490000,44500
2020-03-03,2.500000,2.500000,2.300000,2.310000,2.310000,84200
2020-03-04,2.280000,2.510000,2.260000,2.510000,2.510000,33900
2020-03-05,2.390000,2.430000,2.280000,2.320000,2.320000,28900
2020-03-06,2.260000,2.280000,2.040000,2.100000,2.100000,59100
2020-03-09,2.020000,2.020000,1.750000,1.900000,1.900000,133900
2020-03-10,1.990000,2.030000,1.750000,1.810000,1.810000,55800
2020-03-11,1.840000,1.840000,1.480000,1.750000,1.750000,120200
2020-03-12,1.750000,1.750000,1.500000,1.550000,1.550000,53500
2020-03-13,1.590000,1.600000,1.450000,1.500000,1.500000,129600
2020-03-16,1.490000,1.490000,1.360000,1.380000,1.380000,60200
2020-03-17,1.420000,1.480000,1.130000,1.240000,1.240000,98300
2020-03-18,1.260000,1.320000,1.030000,1.100000,1.100000,65200
2020-03-19,1.050000,1.290000,1.050000,1.230000,1.230000,81200
2020-03-20,1.250000,1.250000,0.950000,1.000000,1.000000,139700
2020-03-23,1.090000,1.180000,1.050000,1.120000,1.120000,57700
2020-03-24,1.190000,1.420000,1.180000,1.320000,1.320000,36000
2020-03-25,1.390000,1.650000,1.350000,1.490000,1.490000,90400
2020-03-26,1.550000,1.600000,1.250000,1.260000,1.260000,100800
2020-03-27,1.320000,1.520000,1.320000,1.390000,1.390000,60400
2020-03-30,1.350000,1.360000,1.050000,1.180000,1.180000,258200
2020-03-31,1.330000,1.330000,1.160000,1.240000,1.240000,36500
2020-04-01,1.240000,1.240000,1.110000,1.190000,1.190000,52300
2020-04-02,1.200000,1.220000,1.110000,1.140000,1.140000,27900
2020-04-03,1.190000,1.200000,1.030000,1.090000,1.090000,92500
2020-04-06,1.130000,1.190000,1.050000,1.180000,1.180000,33600
2020-04-07,1.190000,1.190000,1.030000,1.130000,1.130000,48200
2020-04-08,1.150000,1.200000,1.040000,1.140000,1.140000,140200
2020-04-09,1.190000,1.280000,1.140000,1.240000,1.240000,76300
2020-04-13,1.280000,1.290000,1.210000,1.240000,1.240000,35500
2020-04-14,1.260000,1.340000,1.250000,1.280000,1.280000,28600
2020-04-15,1.280000,1.280000,1.190000,1.200000,1.200000,41300
2020-04-16,1.210000,1.210000,1.150000,1.150000,1.150000,33800
2020-04-17,1.160000,1.290000,1.140000,1.170000,1.170000,42000
2020-04-20,1.150000,1.250000,1.150000,1.250000,1.250000,51200
2020-04-21,1.260000,1.260000,1.160000,1.190000,1.190000,59200
2020-04-22,1.240000,1.950000,1.210000,1.740000,1.740000,981600
2020-04-23,1.750000,2.000000,1.480000,1.630000,1.630000,413600
2020-04-24,1.600000,1.600000,1.310000,1.570000,1.570000,182400
2020-04-27,1.620000,1.750000,1.550000,1.670000,1.670000,125300
2020-04-28,1.660000,1.680000,1.480000,1.510000,1.510000,49200
2020-04-29,1.550000,1.590000,1.480000,1.490000,1.490000,55400
2020-04-30,1.600000,1.600000,1.440000,1.540000,1.540000,60800
2020-05-01,1.560000,1.570000,1.420000,1.480000,1.480000,34600
2020-05-04,1.450000,1.470000,1.320000,1.360000,1.360000,65100
2020-05-05,1.420000,1.530000,1.380000,1.440000,1.440000,28800
2020-05-06,1.450000,1.460000,1.310000,1.440000,1.440000,31700
2020-05-07,1.450000,1.450000,1.340000,1.400000,1.400000,37900
2020-05-08,1.390000,1.470000,1.360000,1.430000,1.430000,20200
2020-05-11,1.460000,1.510000,1.400000,1.420000,1.420000,26000
2020-05-12,1.420000,1.440000,1.270000,1.340000,1.340000,46700
2020-05-13,1.330000,1.400000,1.310000,1.360000,1.360000,49200
2020-05-14,1.320000,1.590000,1.250000,1.270000,1.270000,146500
2020-05-15,1.260000,1.380000,1.150000,1.180000,1.180000,202000
2020-05-18,1.240000,1.270000,1.190000,1.200000,1.200000,82900
2020-05-19,1.250000,1.250000,1.210000,1.250000,1.250000,68100
2020-05-20,1.250000,1.450000,1.230000,1.330000,1.330000,89200
2020-05-21,1.310000,1.310000,1.240000,1.280000,1.280000,41800
2020-05-22,1.230000,1.290000,1.220000,1.290000,1.290000,26700
2020-05-26,1.320000,1.320000,1.230000,1.270000,1.270000,97100
2020-05-27,1.260000,1.390000,1.230000,1.340000,1.340000,100000
2020-05-28,1.320000,1.390000,1.310000,1.370000,1.370000,52400
2020-05-29,1.380000,1.380000,1.310000,1.320000,1.320000,23300
2020-06-01,1.330000,1.380000,1.310000,1.360000,1.360000,47300
2020-06-02,1.390000,1.390000,1.310000,1.370000,1.370000,34000
2020-06-03,1.370000,1.370000,1.260000,1.330000,1.330000,55500
2020-06-04,1.310000,1.350000,1.310000,1.340000,1.340000,34900
2020-06-05,1.340000,1.580000,1.340000,1.460000,1.460000,303500
2020-06-08,1.460000,1.730000,1.460000,1.650000,1.650000,284100
2020-06-09,1.610000,1.650000,1.510000,1.560000,1.560000,59000
2020-06-10,1.560000,1.560000,1.420000,1.470000,1.470000,68500
2020-06-11,1.450000,1.590000,1.300000,1.350000,1.350000,76900
2020-06-12,1.350000,1.460000,1.300000,1.440000,1.440000,59000
2020-06-15,1.400000,1.600000,1.350000,1.420000,1.420000,103900
2020-06-16,1.670000,1.670000,1.430000,1.520000,1.520000,73100
2020-06-17,1.520000,1.580000,1.480000,1.540000,1.540000,51300
2020-06-18,1.580000,1.580000,1.460000,1.480000,1.480000,54800
2020-06-19,1.460000,1.580000,1.380000,1.480000,1.480000,85000
2020-06-22,1.490000,1.490000,1.350000,1.430000,1.430000,109100
2020-06-23,1.410000,1.480000,1.370000,1.370000,1.370000,51500
2020-06-24,1.400000,1.420000,1.300000,1.380000,1.380000,53800
2020-06-25,1.380000,1.380000,1.330000,1.350000,1.350000,11500
2020-06-26,1.360000,1.390000,1.260000,1.260000,1.260000,71300
2020-06-29,1.260000,1.540000,1.260000,1.370000,1.370000,902400
2020-06-30,2.030000,4.960000,1.850000,4.960000,4.960000,138270815
